0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9971,0,0,0,10,10
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9649,0,0,0,0,2,2
1,0,1,0,0,0,0,0,0.8255,0,0,0,0,0,0,0,0,0,0,82,82
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9821,11,11
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9927,0,0,0,45,45
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9993,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9503,14,14
1,0,1,0,0,0,0,0,0.9903,0,0,0,0,0,0,0,0,0,0,57,57
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8549,129,129
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8922,119,119
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.738,248,248
1,0,0,0,0,0,0,0,0.9654,0,0,0,0,0,0,0,0,0,0,59,59
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9168,116,116
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8721,126,126
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8851,120,120
1,0,1,0,0,0,0,0,0.9323,0,0,0,0,0,0,0,0,0,0,60,60
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8006,144,144
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8528,129,129
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8561,129,129
1,0,0,0,0,0,0,0,0.8488,0,0,0,0,0,0,0,0,0,0,82,82
1,0,1,0,0,0,0,0,0.8861,0,0,0,0,0,0,0,0,0,0,61,61
1,0,1,0,0,0,0,0,0.9098,0,0,0,0,0,0,0,0,0,0,60,60
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6482,430,430
1,0,1,0,0,0,1,0,0.9726,0,0,0,0,0,0,0,0,0,0,58,58
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9999,2,2
1,0,1,0,0,0,1,0,0.9163,0,0,0,0,0,0,0,0,0,0,60,60
1,0,1,0,0,0,1,0,0.9189,0,0,0,0,0,0,0,0,0,0,60,60
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9718,12,12
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8796,120,120
1,0,1,0,0,0,1,0,0.828,0,0,0,0,0,0,0,0,0,0,82,82
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8621,128,128
1,0,1,0,0,0,1,0,0.9792,0,0,0,0,0,0,0,0,0,0,57,57
1,0,1,0,0,0,1,0,0.8248,0,0,0,0,0,0,0,0,0,0,82,82
1,0,1,0,0,0,1,0,0.9385,0,0,0,0,0,0,0,0,0,0,59,59
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9409,27,27
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9939,2,2
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8144,139,139
1,0,1,0,0,0,1,0,0.8532,0,0,0,0,0,0,0,0,0,0,82,82
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9803,11,11
